Primary Identifier	gene_symbol	description	massspec_evidence	go_annotation_mitochondrial	gfp_evidence	organism_name	mtstargetp	mtsmitoprot	mtsmitofates	cellular_location	cellular_location_evidence	mito_sublocation	mito_sublocation_evidence
YJL023C	PET130	"Protein required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	5	TRUE	1	S. cerevisiae S288C	0.673	0.9006	0.068	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGR243W	MPC3	"Highly conserved subunit of mitochondrial pyruvate carrier; more highly expressed in glucose-containing minimal medium than in lactate-containing medium; expression regulated by osmotic and alkaline stresses; protein abundance increases in response to DNA replication stress; MPC3 has a paralog, MPC2, that arose from the whole genome duplication"	5	TRUE	1	S. cerevisiae S288C	0.496	0.8505	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YGR222W	PET54	"Mitochondrial inner membrane protein; binds to the 5' UTR of the COX3 mRNA to activate its translation together with Pet122p and Pet494p; also binds to the COX1 Group I intron AI5 beta to facilitate exon ligation during splicing"	5	TRUE	1	S. cerevisiae S288C	0.211	0.4864	0.036	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YKL087C	CYT2	"Cytochrome c1 heme lyase; involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1"	5	TRUE	1	S. cerevisiae S288C	0.065	0.039	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YAL008W	FUN14	Mitochondrial protein of unknown function	5	TRUE	1	S. cerevisiae S288C	0.901	0.9929	0.898	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial outer membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YKR085C	MRPL20	Mitochondrial ribosomal protein of the large subunit	5	TRUE	1	S. cerevisiae S288C	0.559	0.9191	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YMR286W	MRPL33	Mitochondrial ribosomal protein of the large subunit	5	TRUE	1	S. cerevisiae S288C	0.564	0.9151	0.32	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	"mass-spec;Gene Ontology"
YHR017W	YSC83	"Non-essential mitochondrial protein of unknown function; mRNA induced during meiosis, peaking between mid to late prophase of meiosis I; similar to S. douglasii YSD83"	5	TRUE	1	S. cerevisiae S288C	0.071	0.5305	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YGR181W	TIM13	"Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane"	5	TRUE	1	S. cerevisiae S288C	0.214	0.018	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"intermembrane space;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YJR085C		"Protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress"	5	TRUE	1	S. cerevisiae S288C	0.088	0.2267	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	mass-spec
YPR098C		"Protein of unknown function; localized to the mitochondrial outer membrane"	5	TRUE	1	S. cerevisiae S288C	0.037	0.5386	0.015	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YGR094W	VAS1	Mitochondrial and cytoplasmic valyl-tRNA synthetase	5	TRUE	1	S. cerevisiae S288C	0.9	0.9792	0.996	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YLR164W	SHH4	"Putative alternate subunit of succinate dehydrogenase (SDH); mitochondrial inner membrane protein; genetic interaction with SDH4 suggests that Shh4p can function as a functional SDH subunit; a fraction copurifies with SDH subunit Sdh3p; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner; Shh4p has greater similarity to human SDHD (subunit D of SDH, implicated in paraganglioma) than does its paralog Sdh4p"	5	TRUE	1	S. cerevisiae S288C	0.834	0.9835	0.88	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YBR146W	MRPS9	Mitochondrial ribosomal protein of the small subunit	5	TRUE	1	S. cerevisiae S288C	0.943	0.9927	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	Gene Ontology
YGR084C	MRP13	Mitochondrial ribosomal protein of the small subunit	5	TRUE	1	S. cerevisiae S288C	0.457	0.9469	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDR337W	MRPS28	Mitochondrial ribosomal protein of the small subunit	5	TRUE	1	S. cerevisiae S288C	0.804	0.9893	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPL132W	COX11	"Protein required for delivery of copper to Cox1p; mitochondrial inner membrane protein; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p"	5	TRUE	1	S. cerevisiae S288C	0.872	0.9747	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial inner membraneintermembrane space;mitochondrial intermembrane space;mitochondrial matrix;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR100C	CRC1	"Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation"	5	TRUE	1	S. cerevisiae S288C	0.146	0.0701	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YLR348C	DIC1	"Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix"	5	TRUE	1	S. cerevisiae S288C	0.092	0.1143	0.003	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YBR185C	MBA1	"Membrane-associated mitochondrial ribosome receptor; forms a complex with Mdm38p that may facilitate recruitment of mRNA-specific translational activators to ribosomes; possible role in protein export from the matrix to inner membrane"	5	TRUE	1	S. cerevisiae S288C	0.844	0.9837	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YJL180C	ATP12	"Assembly factor for the F1 sector of mitochondrial F1F0 ATP synthase; conserved protein; required for the assembly of alpha and beta subunits into the F1 sector of the mitochondrial F1F0 ATP synthase; mutation of human ATP12 reduces active ATP synthase levels and is associated with the disorder ATPAF2 deficiency"	5	TRUE	1	S. cerevisiae S288C	0.818	0.4758	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membraneintermembrane space;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YBL057C	PTH2	"One of two mitochondrially-localized peptidyl-tRNA hydrolases; negatively regulates the ubiquitin-proteasome pathway via interactions with ubiquitin-like ubiquitin-associated proteins; dispensable for cell growth; see also PTH1"	5	FALSE	1	S. cerevisiae S288C	0.034	0.4371	0	mitochondrion	"MassSpec;GFP"	mitochondrial outer membrane	mass-spec
YGR049W	SCM4	"Mitochondrial outer membrane protein of unknown function; predicted to have 4 transmembrane segments; import is mediated by Tom70p and Mim1p; interacts genetically with a cdc4 mutation; SCM4 has a paralog, ATG33, that arose from the whole genome duplication"	5	FALSE	1	S. cerevisiae S288C	0.08	0.5224	0	mitochondrion	"MassSpec;GFP"	mitochondrial outer membrane	mass-spec
YGR266W		"Protein of unknown function; predicted to contain a single transmembrane domain; mutant has increased aneuploidy tolerance; localized to both the mitochondrial outer membrane and the plasma membrane; protein abundance increases in response to DNA replication stress"	5	FALSE	0	S. cerevisiae S288C	0.045	0.0995	0	"mitochondrion;plasma membrane"	"MassSpec;Gene Ontology"	mitochondrial outer membrane	mass-spec
YOR335C	ALA1	"Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog"	5	FALSE	0	S. cerevisiae S288C	None	None	None	mitochondrion	MassSpec	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	mass-spec
YKL217W	JEN1	"Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose"	5	FALSE	0	S. cerevisiae S288C	0.086	0.0249	0	"mitochondrion;plasma membrane"	"MassSpec;Gene Ontology"	mitochondrial inner membrane	mass-spec
YMR207C	HFA1	"Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; HFA1 has a paralog, ACC1, that arose from the whole genome duplication"	4	FALSE	3	S. cerevisiae S288C	None	None	None	mitochondrion	"MassSpec;GFP"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YIL042C	PKP1	"Mitochondrial protein kinase; involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p"	4	TRUE	3	S. cerevisiae S288C	0.675	0.9785	0.289	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YLR059C	REX2	"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"	4	TRUE	3	S. cerevisiae S288C	0.951	0.9922	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YPR134W	MSS18	"Nuclear encoded protein needed for splicing of mitochondrial intron; required for efficient splicing of mitochondrial COX1 aI5beta intron; mss18 mutations block cleavage of 5' exon - intron junction; phenotype of intronless strain suggests additional functions"	4	TRUE	3	S. cerevisiae S288C	0.072	0.0094	0.004	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;Matrix/mitochondrial inner membrane"	mass-spec
YBL095W	MRX3	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	4	TRUE	3	S. cerevisiae S288C	0.218	0.9443	0.104	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YOR196C	LIP5	"Protein involved in biosynthesis of the coenzyme lipoic acid; has similarity to E. coli lipoic acid synthase"	4	TRUE	3	S. cerevisiae S288C	0.887	0.9876	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YDR197W	CBS2	"Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader"	4	TRUE	3	S. cerevisiae S288C	0.668	0.7609	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOR037W	CYC2	"Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)"	4	TRUE	3	S. cerevisiae S288C	0.901	0.9977	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YKR036C	CAF4	"WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication"	4	TRUE	3	S. cerevisiae S288C	0.114	0.1136	0.925	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial outer membrane	"mass-spec;Gene Ontology"
YBL013W	FMT1	"Methionyl-tRNA formyltransferase; catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"	4	TRUE	3	S. cerevisiae S288C	0.832	0.9813	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YMR225C	MRPL44	"Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress"	4	TRUE	3	S. cerevisiae S288C	0.361	0.6834	0.842	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YKL170W	MRPL38	"Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress"	4	TRUE	3	S. cerevisiae S288C	0.092	0.2646	0.238	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YPR047W	MSF1	"Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase"	4	TRUE	3	S. cerevisiae S288C	0.626	0.8922	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YDL157C		"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	4	TRUE	3	S. cerevisiae S288C	0.035	0.1096	0.003	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial intermembrane space/mitochondrial inner membrane	mass-spec
YMR066W	SOV1	Mitochondrial protein of unknown function	4	TRUE	3	S. cerevisiae S288C	0.89	0.9695	0.947	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YMR177W	MMT1	"Putative metal transporter involved in mitochondrial iron accumulation; MMT1 has a paralog, MMT2, that arose from the whole genome duplication"	4	TRUE	3	S. cerevisiae S288C	0.715	0.9903	0.46	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YCL064C	CHA1	"Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine"	4	TRUE	3	S. cerevisiae S288C	0.422	0.9389	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial nucleoid;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YGR171C	MSM1	"Mitochondrial methionyl-tRNA synthetase (MetRS); functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p"	4	TRUE	3	S. cerevisiae S288C	0.715	0.8511	0.669	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YLR139C	SLS1	"Mitochondrial membrane protein; coordinates expression of mitochondrially-encoded genes; may facilitate delivery of mRNA to membrane-bound translation machinery"	4	TRUE	3	S. cerevisiae S288C	0.825	0.9622	0.928	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial nucleoid;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBR251W	MRPS5	Mitochondrial ribosomal protein of the small subunit	4	TRUE	3	S. cerevisiae S288C	0.447	0.5195	0.686	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOL033W	MSE1	"Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated"	4	TRUE	3	S. cerevisiae S288C	0.684	0.9821	0.038	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YIL087C	AIM19	"Putative protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth"	4	TRUE	3	S. cerevisiae S288C	0.182	0.4586	0.011	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YMR157C	AIM36	"Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	4	TRUE	3	S. cerevisiae S288C	0.909	0.9019	0.983	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YKL106W	AAT1	"Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis"	4	TRUE	3	S. cerevisiae S288C	0.858	0.983	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOR330C	MIP1	"Mitochondrial DNA polymerase gamma subunit; conserved C-terminal segment is required for the maintenance of mitochondrial genome; its human ortholog, POLG, can rescue mip1 phenotypes, and mutations in POLG are associated with Alpers-Huttenlocher syndrome (AHS) and other mitochondrial diseases; Mip1p is the single subunit of mitochondrial DNA polymerase in yeast, in contrast to metazoans in which there is a complex of a catalytic subunit and an accessory subunit"	4	TRUE	3	S. cerevisiae S288C	0.912	0.9946	0.967	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YMR293C	HER2	"Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase"	4	TRUE	3	S. cerevisiae S288C	0.284	0.7531	0.173	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YOL096C	COQ3	"O-methyltransferase; catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein"	4	TRUE	3	S. cerevisiae S288C	0.937	0.9963	0.997	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YDR079W	PET100	"Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme"	4	TRUE	2	S. cerevisiae S288C	0.288	0.4998	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YER153C	PET122	"Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane"	4	TRUE	2	S. cerevisiae S288C	0.723	0.7199	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
YLR067C	PET309	"Specific translational activator for the COX1 mRNA; binds to the COX1 mRNA; also influences stability of intron-containing COX1 primary transcripts; localizes to the mitochondrial inner membrane; contains 12 pentatricopeptide repeats (PPRs)"	4	TRUE	2	S. cerevisiae S288C	0.384	0.7973	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YNR045W	PET494	"Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane"	4	TRUE	2	S. cerevisiae S288C	0.708	0.9889	0.963	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YJR003C	MRX12	"Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; predicted to be involved in ribosome biogenesis"	4	TRUE	2	S. cerevisiae S288C	0.904	0.992	0.99	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YDR493W	MZM1	"Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog"	4	TRUE	2	S. cerevisiae S288C	0.904	0.9156	0.848	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YHR120W	MSH1	"DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis"	4	TRUE	2	S. cerevisiae S288C	0.896	0.9909	0.91	"mitochondrion;nucleus"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	mass-spec
YOR334W	MRS2	"Mitochondrial inner membrane Mg(2+) channel; required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns; similar to bacterial CorA"	4	TRUE	2	S. cerevisiae S288C	0.867	0.9921	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	Gene Ontology
YNL003C	PET8	"S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth"	4	TRUE	2	S. cerevisiae S288C	0.082	0.1692	0.003	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	"mass-spec;Gene Ontology"
YDR375C	BCS1	"Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane, and then delivers it to an assembly intermediate of respiratory Complex III in an ATP-dependent reaction; also required for assembly of the Qcr10p subunit; mutations in human homolog BCS1L linked to neonatal diseases"	4	TRUE	2	S. cerevisiae S288C	0.068	0.0545	0	"cytosol;mitochondrion"	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space"	"mass-spec;Gene Ontology"
YJL060W	BNA3	"Kynurenine aminotransferase; catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate"	4	TRUE	2	S. cerevisiae S288C	0.873	0.9536	0.898	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix	mass-spec
YBL080C	PET112	"Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog"	4	TRUE	2	S. cerevisiae S288C	0.786	0.1458	0.988	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial matrix/mitochondrial inner membrane	mass-spec
YNL256W	FOL1	"Multifunctional enzyme of the folic acid biosynthesis pathway; has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities"	4	TRUE	2	S. cerevisiae S288C	0.688	0.688	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YOR271C	FSF1	"Putative protein; predicted to be an alpha-isopropylmalate carrier; belongs to the sideroblastic-associated protein family; non-tagged protein is detected in purified mitochondria; likely to play a role in iron homeostasis"	4	TRUE	2	S. cerevisiae S288C	0.195	0.0087	0.012	mitochondrion	"MassSpec;GFP;Gene Ontology"	mitochondrial inner membrane	mass-spec
YLR091W	GEP5	"Protein of unknown function; required for mitochondrial genome maintenance; detected in highly purified mitochondria in high-throughput studies; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine"	4	TRUE	2	S. cerevisiae S288C	0.041	0.1484	0	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YNR022C	MRPL50	"Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation"	4	TRUE	2	S. cerevisiae S288C	0.732	0.9816	0.257	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YJL102W	MEF2	Mitochondrial elongation factor involved in translational elongation	4	TRUE	2	S. cerevisiae S288C	0.95	0.9799	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial matrix/mitochondrial inner membrane"	mass-spec
YOR150W	MRPL23	"Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2"	4	TRUE	2	S. cerevisiae S288C	0.798	0.2722	0.012	"mitochondrion;vacuole"	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBR268W	MRPL37	Mitochondrial ribosomal protein of the large subunit	4	TRUE	2	S. cerevisiae S288C	0.856	0.9797	0.996	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial matrix/mitochondrial inner membrane;mitochondrial matrix"	"mass-spec;Gene Ontology"
YBR104W	YMC2	"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication"	4	TRUE	2	S. cerevisiae S288C	0.194	0.0837	0.256	mitochondrion	"MassSpec;GFP;Gene Ontology"	"mitochondrial inner membrane;mitochondrial intermembrane space/mitochondrial inner membrane"	"mass-spec;Gene Ontology"
